Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Total Traded Quantity,Turnover,No of Trades
M&M,EQ,20-Jul-17,"1,382.40","1,387.00","1,397.80","1,381.30","1,391.00","1,393.45","9,02,218","1,25,44,24,095.60","26,288"
M&M,EQ,21-Jul-17,"1,393.45","1,394.00","1,398.00","1,365.75","1,382.50","1,386.05","7,00,993","96,89,81,558.95","25,040"
M&M,EQ,24-Jul-17,"1,386.05","1,385.80","1,391.95","1,375.00","1,390.00","1,388.95","5,80,661","80,50,57,683.25","17,896"
M&M,EQ,25-Jul-17,"1,388.95","1,391.20","1,396.10","1,386.30","1,389.80","1,389.80","7,20,938","1,00,22,82,593.95","31,303"
M&M,EQ,26-Jul-17,"1,389.80","1,390.70","1,420.20","1,389.05","1,413.50","1,413.50","12,67,793","1,78,79,17,805.05","54,494"
M&M,EQ,27-Jul-17,"1,413.50","1,420.00","1,423.75","1,395.00","1,402.00","1,398.20","19,33,565","2,71,62,91,896.30","54,857"
M&M,EQ,28-Jul-17,"1,398.20","1,398.00","1,398.00","1,376.25","1,383.10","1,392.20","4,01,658","55,81,35,356.55","24,883"
M&M,EQ,31-Jul-17,"1,392.20","1,393.30","1,409.00","1,380.10","1,406.00","1,403.30","5,10,904","71,37,94,219.20","22,932"
M&M,EQ,01-Aug-17,"1,403.30","1,415.00","1,433.40","1,403.30","1,429.95","1,429.25","19,41,740","2,76,38,95,765.00","34,253"
M&M,EQ,02-Aug-17,"1,429.25","1,430.60","1,433.65","1,408.30","1,410.00","1,414.60","4,76,469","67,62,72,724.10","21,874"
M&M,EQ,03-Aug-17,"1,414.60","1,418.40","1,421.65","1,404.10","1,416.55","1,416.50","5,63,019","79,57,47,380.30","31,095"
M&M,EQ,04-Aug-17,"1,416.50","1,420.00","1,424.40","1,395.10","1,419.00","1,418.05","22,37,324","3,14,76,88,738.05","49,015"
M&M,EQ,07-Aug-17,"1,418.05","1,390.00","1,430.00","1,384.95","1,401.00","1,400.75","14,93,977","2,10,50,63,229.30","46,100"
M&M,EQ,08-Aug-17,"1,400.75","1,400.05","1,416.55","1,390.25","1,399.70","1,400.00","8,52,827","1,19,48,02,525.35","33,833"
M&M,EQ,09-Aug-17,"1,400.00","1,397.50","1,406.60","1,384.40","1,390.00","1,392.30","7,71,111","1,07,63,27,280.60","32,601"
M&M,EQ,10-Aug-17,"1,392.30","1,386.00","1,395.80","1,380.00","1,395.00","1,387.05","8,16,173","1,13,16,39,711.90","35,937"
M&M,EQ,11-Aug-17,"1,387.05","1,380.00","1,386.10","1,340.00","1,350.00","1,348.05","11,26,510","1,53,12,75,054.95","37,921"
M&M,EQ,14-Aug-17,"1,348.05","1,354.70","1,370.90","1,347.60","1,356.15","1,355.75","6,85,342","93,00,46,854.30","50,845"
M&M,EQ,16-Aug-17,"1,355.75","1,361.90","1,376.45","1,348.35","1,368.00","1,371.20","7,44,908","1,01,79,86,385.25","43,408"
M&M,EQ,17-Aug-17,"1,371.20","1,372.00","1,374.95","1,358.60","1,366.25","1,367.00","6,11,537","83,66,00,407.80","40,013"
M&M,EQ,18-Aug-17,"1,367.00","1,364.00","1,379.50","1,360.65","1,371.00","1,370.00","6,78,855","93,05,92,793.80","45,903"
M&M,EQ,21-Aug-17,"1,370.00","1,370.20","1,392.95","1,370.15","1,378.55","1,378.65","7,02,542","96,97,03,211.30","42,318"
M&M,EQ,22-Aug-17,"1,378.65","1,382.70","1,385.80","1,371.00","1,373.20","1,374.65","2,92,349","40,25,17,219.30","15,230"
M&M,EQ,23-Aug-17,"1,374.65","1,378.00","1,387.00","1,367.05","1,375.00","1,374.20","7,89,242","1,08,51,56,222.55","14,913"
M&M,EQ,24-Aug-17,"1,374.20","1,375.00","1,383.00","1,367.80","1,376.30","1,375.15","7,90,046","1,08,62,51,763.60","32,240"
M&M,EQ,28-Aug-17,"1,375.15","1,380.00","1,380.45","1,366.50","1,372.75","1,373.05","10,35,223","1,42,08,40,103.55","26,502"
M&M,EQ,29-Aug-17,"1,373.05","1,375.25","1,379.00","1,367.05","1,375.00","1,376.95","5,37,856","73,94,66,409.90","16,638"
M&M,EQ,30-Aug-17,"1,376.95","1,385.00","1,388.55","1,353.85","1,360.00","1,358.15","10,55,176","1,45,20,74,708.40","26,166"
M&M,EQ,31-Aug-17,"1,358.15","1,358.00","1,360.30","1,333.00","1,344.10","1,344.80","15,58,002","2,09,49,88,754.20","67,121"
M&M,EQ,01-Sep-17,"1,344.80","1,344.80","1,351.65","1,336.90","1,346.80","1,347.60","10,87,301","1,46,20,27,916.80","44,840"
M&M,EQ,04-Sep-17,"1,347.60","1,348.00","1,348.00","1,324.10","1,326.35","1,328.30","4,07,303","54,31,42,765.95","28,007"
M&M,EQ,05-Sep-17,"1,328.30","1,329.05","1,331.45","1,313.45","1,325.00","1,324.65","7,73,888","1,02,27,67,747.40","27,611"
M&M,EQ,06-Sep-17,"1,324.65","1,321.40","1,324.65","1,310.00","1,316.80","1,316.55","6,49,266","85,60,68,432.20","32,912"
M&M,EQ,07-Sep-17,"1,316.55","1,318.65","1,343.00","1,318.65","1,342.00","1,339.95","11,64,341","1,55,32,29,848.00","37,645"
M&M,EQ,08-Sep-17,"1,339.95","1,345.00","1,346.85","1,288.20","1,294.95","1,295.40","19,69,487","2,57,26,39,909.05","89,869"
M&M,EQ,11-Sep-17,"1,295.40","1,300.00","1,330.00","1,278.00","1,282.60","1,280.20","16,65,419","2,15,01,77,448.20","68,418"
M&M,EQ,12-Sep-17,"1,280.20","1,284.00","1,304.90","1,278.95","1,300.00","1,300.75","10,61,452","1,37,24,41,917.95","39,769"
M&M,EQ,13-Sep-17,"1,300.75","1,310.00","1,320.05","1,303.00","1,308.00","1,307.35","23,88,029","3,14,37,36,336.80","35,552"
M&M,EQ,14-Sep-17,"1,307.35","1,313.00","1,313.00","1,288.25","1,294.00","1,290.75","7,15,922","92,69,91,825.40","25,326"
M&M,EQ,15-Sep-17,"1,290.75","1,290.00","1,304.00","1,285.00","1,286.00","1,294.25","8,40,187","1,08,75,12,077.15","31,964"
